sample,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,taxon,species
ILMB5_A,1.109257311,2.03471422,2.925208063,-0.094169161,0.167536858,0.427423384,-0.194388992,-1.181443399,1.311017946,1.111664077,fish,lmb
ILMB6_A,-0.281231269,1.165845751,3.731018087,0.937584435,-0.444393683,0.724843361,-0.102126414,-2.086985133,0.67088284,1.253163066,fish,lmb
M3R1a_A,-1.58334208,-3.967883675,0.703019231,-0.296907817,-1.812220628,-0.801032967,-0.304205083,0.357365894,0.754598186,0.704576857,mollusc,m3r
M3R2a_A,-0.984850345,-4.783374041,0.384754084,-0.206270867,-0.926973985,-0.316220917,-0.03439278,-0.438337985,0.770018642,0.771130051,mollusc,m3r
M3R_KY_A,-3.101949018,-4.77428547,1.922136053,-0.627097376,-0.285458968,-2.829368652,-0.26462075,1.286262957,1.096582023,2.241527901,mollusc,m3rk
IMT.C._A,1.045126285,2.014741563,1.536131999,-1.166358967,-1.658407131,0.848270486,2.020040167,2.602508755,0.315301006,-2.63902104,fish,mt
IMT1_A,0.636859985,3.581530656,1.26676256,0.069715198,-0.85886869,-0.484956298,3.6739116,3.483650002,2.227249752,-0.050363705,fish,mt
IMT2_A,0.088558544,3.9526948,0.84454649,0.81805916,-0.05578924,0.178264913,2.750121608,3.148908232,1.341203801,-0.35311153,fish,mt
O29F_A,2.422163729,-1.893890132,-2.43213496,0.514187769,-1.196497549,1.316896532,0.557651702,-0.626266999,0.021114555,0.437295034,otter_foot,of
O30F_A,1.967480849,-4.501755748,-2.33297464,1.210790749,-0.838912392,0.867902239,-0.383222128,-0.763189749,0.152868729,1.71488285,otter_foot,of
O31F_A,2.8980055,-1.421975768,-2.493190229,0.074508001,0.152827064,0.818115106,-0.151126193,0.439756485,0.283258597,-0.01474456,otter_foot,of
O32F_A,1.741527547,-4.590277483,-2.586969908,0.26109813,-2.225370771,0.230173374,1.003234981,-1.990617889,0.260484029,1.766478922,otter_foot,of
O33F_A,2.295485344,-1.598502609,-1.949199289,-0.479078748,-1.060228349,1.40407094,-0.754760753,-0.591188675,-0.583919192,0.894246224,otter_foot,of
O33Fa_A,2.705558516,-0.92540838,-2.354455129,-0.650592755,-0.719900506,1.004938073,-0.433091932,-0.872581495,-0.856289234,0.92877417,otter_foot,of
O34F_A,2.006905382,-3.629614375,-2.403807625,-0.017485045,-1.782882049,1.297826471,0.157670988,-0.878259582,-0.553264339,2.296522387,otter_foot,of
O34Fa_A,1.94512327,-3.71053368,-2.610183501,0.056202227,-1.733854593,1.326174433,-0.389097296,-0.949657436,-0.907840778,1.913528283,otter_foot,of
O35F_A,1.424873863,-3.493360155,-2.416865142,1.258190161,-0.613758476,1.109157747,-0.929551314,-0.931874732,0.136017264,1.468265658,otter_foot,of
O35Fa_A,1.370113262,-3.394385381,-2.379426096,1.240618548,-0.66942604,1.079031448,-0.899450578,-0.904227413,0.106307595,1.455548799,otter_foot,of
O37F_A,3.124826157,-1.247774944,-2.917690493,-0.317414804,0.284426663,0.688764304,-1.048260478,0.96902073,1.419335555,-0.856031549,otter_foot,of
O38F_A,2.969813036,-3.438146066,-3.595750251,-1.017613237,-0.483711807,0.2543535,-0.64726574,1.165491895,0.115272249,0.99487193,otter_foot,of
O39F_A,2.78793981,-4.913773938,-3.260798719,-0.86829663,-1.535606258,0.699327887,-0.084105222,0.585912329,-1.556615158,3.256730218,otter_foot,of
O40F_A,3.003697695,-4.751945043,-3.121858101,-0.999711243,-1.957117274,0.44287426,0.135683055,0.632023369,-2.126091052,3.417364264,otter_foot,of
O41F_A,2.466976567,-4.274218368,-2.760003032,-0.814059257,-0.713652381,0.121225185,-0.475519273,0.747148356,-0.221353234,1.435960929,otter_foot,of
O42F_A,2.330270724,-3.622495395,-2.475234382,-1.568667003,-1.144290615,0.295827888,0.043914422,0.828635945,-1.102423388,1.777762332,otter_foot,of
O43F_A,1.668772233,-4.683897967,-1.931009793,-2.243423342,-1.467593705,0.227131741,0.448160862,-0.327082451,-4.602817122,5.137749231,otter_foot,of
O45F_A,2.453725341,-4.221552278,-2.217370082,-0.703233736,-0.76058863,-0.067531773,-0.349393979,0.749968857,-0.462653476,1.708030398,otter_foot,of
O46F_A,2.491984848,0.036524044,-2.878504681,-0.152721449,0.155001391,0.600471601,0.333788349,0.686555901,-0.382783393,0.131962119,otter_foot,of
O1_A,1.930946685,0.819474811,-1.264594061,-0.373813218,0.515171174,0.615166732,-0.370006213,-0.177378005,-0.794340704,-0.35724562,otter_tail,ot
O10_A,2.349254684,-0.239298107,-0.74331453,0.636338695,0.039359502,0.838717165,0.502192395,0.175211314,-2.162863781,0.315001172,otter_tail,ot
O11_A,2.566921456,0.753423961,-1.669305157,0.452994629,0.188988312,1.172226432,-0.458881151,-0.85691574,-1.697905169,0.104508923,otter_tail,ot
O12_A,2.02229837,0.962919172,-1.509337506,0.915775189,0.303350867,0.575723022,-0.636355946,-0.113311338,-0.896929856,-0.185072066,otter_tail,ot
O13_A,2.176788991,0.601088767,-2.678247356,0.090475313,-0.334901923,-0.557482655,1.675398191,0.337422512,-1.389674598,0.050110606,otter_tail,ot
O14_A,2.220145942,-0.09340604,-0.693743127,0.69128469,0.626080487,0.336150172,-0.408282686,-0.292189892,-1.775149058,0.296514846,otter_tail,ot
O15_A,0.933247341,-2.820200647,0.772360631,0.721950179,-1.488788035,-0.091737262,1.326961296,-0.608568954,0.765007346,-0.07120735,otter_tail,ot
O16_A,2.275091248,1.47803109,1.658178511,-0.650072634,-1.893991166,0.482796128,2.434548716,1.434579515,-1.120566463,0.607094296,otter_tail,ot
O17_A,1.995834555,2.437269833,-1.861173113,0.615154425,-0.231898656,0.944020154,0.533199825,0.483160308,-0.810448852,-0.532779282,otter_tail,ot
O18_A,2.095912717,1.160908098,-0.860221878,1.344422629,1.008894598,1.359047115,-0.045107527,-0.042894008,-1.447146743,-0.739999582,otter_tail,ot
O19_A,2.330416819,1.580564501,-1.717916867,0.475922092,1.202812154,0.404237225,-0.332432748,0.148635385,-0.026965506,-1.004111839,otter_tail,ot
O2_A,2.961792269,3.161610054,-2.375684583,-0.89124597,0.172006973,-0.254892434,-0.175022325,-0.682237156,-1.135648791,-0.676122661,otter_tail,ot
O20_A,0.474572377,2.262339124,-1.393716658,-0.198111537,2.10938247,-1.753591469,0.936634208,1.536074491,0.746841988,-0.582608275,otter_tail,ot
O21_A,1.551676549,0.536929037,-1.088651921,1.145782387,1.014817979,0.026645876,0.09534409,0.639871637,0.00891329,-0.740012865,otter_tail,ot
O22_A,1.924077209,1.581492644,-0.660576707,-0.779544787,-1.381618318,-0.13797344,0.782205549,0.259969591,-1.617545067,-0.002911391,otter_tail,ot
O23_A,1.807757459,3.453974546,-1.403253312,0.18173787,1.283612474,-0.353627507,0.120226669,-0.100082775,-1.112412651,-1.482007499,otter_tail,ot
O24_A,2.671562389,1.522777598,-1.586883927,-0.107215826,0.064458499,0.585111345,-0.295060491,0.479001601,-1.223142347,-0.620277173,otter_tail,ot
O25_A,2.882848197,1.117581346,-2.748764966,-0.291552415,0.087204596,1.17294334,-0.510526508,0.144122502,-0.831235386,-0.357112277,otter_tail,ot
O26_A,2.029328465,1.628628869,-1.733308369,0.909731517,0.370921138,0.779428085,0.057755256,0.15578152,-0.712922795,-0.738368275,otter_tail,ot
O27_A,2.176616078,-0.672897835,-2.384614955,0.659402678,0.644316552,0.656862905,-0.220121146,0.871328352,0.284072639,0.355152803,otter_tail,ot
O28_A,1.818791929,-1.975732791,0.661215117,1.599743108,-0.304223979,1.759089521,-0.141782607,-1.616166312,1.291025566,-0.772176275,otter_tail,ot
O29T_A,2.123533414,0.984934006,-1.816393164,0.625638541,-0.738823603,1.203124524,1.027438386,0.582061856,-0.751521221,-0.237666177,otter_tail,ot
O3_A,2.131532702,0.555939298,-1.766594856,1.012877355,0.368090622,0.249524367,0.477974214,-0.132248419,-0.978139043,-0.161129422,otter_tail,ot
O30T_A,2.6794693,-0.912245128,-3.268353896,0.971386036,0.666208931,0.48227222,0.716638895,1.103826448,0.583909032,1.041217263,otter_tail,ot
O31T_A,2.228841395,1.371657263,-2.419586163,0.082228222,0.956796827,0.396655488,0.144816755,0.79266235,0.834418505,-0.425773666,otter_tail,ot
O32T_A,2.286987302,0.064241048,-1.739370621,-0.047358175,-0.115307755,0.721815886,-0.497062617,0.328431567,-0.141946218,-0.188039397,otter_tail,ot
